Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2016,90054,CA,Los Angeles,Los Angeles,79,3460356,122841,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90030,CA,Los Angeles,Los Angeles,93,3760218,49762,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90060,CA,Los Angeles,Los Angeles,105,3675982,92338,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90053,CA,Los Angeles,Los Angeles,120,12766754,604786,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90089,CA,Los Angeles,Los Angeles,159,7453707,302242,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.28092400000001 34.024007)
2016,90050,CA,Los Angeles,Los Angeles,162,7716565,259851,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90083,CA,Los Angeles,Los Angeles,164,10079579,364111,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90051,CA,Los Angeles,Los Angeles,170,10797649,631551,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24368499999999 34.052234)
2016,90075,CA,Los Angeles,Los Angeles,173,5681716,165145,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90076,CA,Los Angeles,Los Angeles,199,9571844,216943,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90086,CA,Los Angeles,Los Angeles,242,16686062,817834,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
